Product ID,Product Category,Product Subcategory,Product Name,Product Description,Product Price,Product Weight,Product Size
1001,Mountain BIKES,Cross Country, TrailBlazer 1000 ,Lightweight and versatile,1200,25,m
1002,Mountain Bikes,Cross Country,TrailBlazer 2000,High-performance mountain bike,1500,22,l
1003,Road Bikes,Racing,SpeedMaster 1000 ,Agile and aerodynamic road bike,1800,18,S
1004,Road BIKES,Racing,SpeedMaster 2000,Premium racing road bike,2100,16,L
1005,Touring Bikes,Long Distance,Explorer 1000 ,Comfortable and durable touring bike,1300,27,M
1006,Touring Bikes,Long Distance,Explorer 2000,Advanced touring bike,1600,24,L
1007,Mountain Bikes,Downhill,GravityMaster 1000,Rugged and durable downhill bike,2200,29,m
1008,Mountain Bikes,Downhill,       GravityMaster 2000 ,,2500,27,L
1021,Mountain Bikes,Trail,Pathfinder 1000,Agile trail bike for all skill levels,1100,24,M
1022,mountain BIKES,Trail,Pathfinder 2000,High-performance trail bike,1400,21,l
1023,Road Bikes,Touring,    Voyager 1000    ,Comfortable touring road bike,1700,20,M
1024,road Bikes,Touring,Voyager 2000,Advanced touring road bike,2000,18,L
1025,Touring Bikes,Adventure,Adventurer 1000,Durable bike for long adventures,1500,28,m
1026,Touring Bikes,Adventure,Adventurer 2000,Premium adventure touring bike,1800,26,L
1027,Mountain Bikes,Enduro,EnduroMaster 1000,Endurance-focused mountain bike,2300,30,S
1028,mountain bikes,Enduro,EnduroMaster 2000,High-performance enduro mountain bike,2600,28,L
1041,Mountain Bikes,Fat Bikes,FatTrail 1000,All-terrain fat bike,1300,32,m
1042,Mountain Bikes,Fat Bikes,FatTrail 2000,High-performance fat bike,1600,29,L
1043,Road Bikes,Cyclocross,CrossRider 1000,Versatile cyclocross bike,1900,21,M
1044,Road Bikes,Cyclocross,CrossRider 2000,Advanced cyclocross bike,2200,19,L
1045,Touring Bikes,Tandem,DuoExplorer 1000,Comfortable tandem touring bike,2000,36,M
1046,Touring Bikes,Tandem,DuoExplorer 2000,High-performance tandem touring bike,2300,34,L
1047,Mountain Bikes,Electric,E-Mountain 1000,Electric mountain bike,3000,40,M
1048,Mountain Bikes,Electric,E-Mountain 2000,High-performance electric mountain bike,3500,38,L
1061,E-Bikes,City,UrbanEco 1000,Eco-friendly electric city bike,2000,35,s
1062,E-Bikes,City,UrbanEco 2000,High-performance electric city bike,2500,33,L
1063,ROAD BIKES,Gravel,GravelMaster 1000,All-terrain gravel bike,1700,22,M
1064,Road Bikes,Gravel,GravelMaster 2000,High-performance gravel bike,2100,20,L
1065,Touring Bikes,Folding,FoldAway 1000,Compact folding touring bike,1500,30,M
1066,Touring Bikes,Folding,FoldAway 2000,Advanced folding touring bike,1800,28,L
1067,E-Bikes,Mountain,E-TrailBlazer 1000,Electric mountain bike,3200,42,M
1068,E-Bikes,Mountain,E-TrailBlazer 2000,High-performance electric mountain bike,3700,40,L
1081,Hybrid Bikes,Commuter,CommutePro 1000,Efficient commuter hybrid bike,1200,27,M
1082,Hybrid Bikes,Commuter,CommutePro 2000,High-performance commuter hybrid bike,1500,25,L
1083,Road Bikes,Aero,AeroSpeed 1000,Aerodynamic road bike,2800,18,M
1084,Road Bikes,Aero,AeroSpeed 2000,Advanced aerodynamic road bike,3200,16,L
1085,Touring Bikes,Recumbent,ReclineRider 1000,Comfortable recumbent touring bike,2000,33,M
1086,Touring Bikes,Recumbent,ReclineRider 2000,High-performance recumbent touring bike,2400,30,L
1087,Mountain Bikes,Downhill,DownhillDominator 1000,Downhill mountain bike,2900,34,M
1088,Mountain Bikes,Downhill,DownhillDominator 2000,High-performance downhill mountain bike,3300,32,L
1101,Kids Bikes,Balance,LittleBalancer 1000,Starter balance bike for kids,150,10,M
1102,Kids Bikes,Balance,LittleBalancer 2000,Upgraded balance bike for kids,200,9,L
1103,BMX Bikes,Freestyle,FreestyleMaster 1000,Beginner freestyle BMX bike,400,25,M
1104,BMX Bikes,Freestyle,FreestyleMaster 2000,Advanced freestyle BMX bike,600,23,L
1105,Mountain Bikes,Cross Country,XC-Rider 1000,Cross country mountain bike,1800,29,M
1106,Mountain Bikes,Cross Country,XC-Rider 2000,High-performance cross country bike,2400,27,L
1107,ROAD BIKES,Endurance,EnduranceElite 1000,Endurance road bike,2100,20,M
1108,Road Bikes,Endurance,EnduranceElite 2000,High-performance endurance road bike,2600,18,L
